Station Name,Time Period,Avg Daily Entries
West Falls Church,Evening (7pm-12am),0.1
West Falls Church,AM Peak (Open-9:30am),0.9
West Falls Church,Midday (9:30am-3pm),0.3
West Falls Church,PM Peak (3pm-7pm),0.2
West Hyattsville,Evening (7pm-12am),0.1
West Hyattsville,Late Night (12am-Close),0.0
West Hyattsville,Midday (9:30am-3pm),0.7
West Hyattsville,AM Peak (Open-9:30am),1.5
West Hyattsville,PM Peak (3pm-7pm),0.5
Wheaton,Evening (7pm-12am),0.2
Wheaton,Late Night (12am-Close),0.0
Wheaton,Midday (9:30am-3pm),0.5
Wheaton,PM Peak (3pm-7pm),0.4
Wheaton,AM Peak (Open-9:30am),1.0
Wiehle-Reston East,PM Peak (3pm-7pm),0.3
Wiehle-Reston East,Midday (9:30am-3pm),0.3
Wiehle-Reston East,AM Peak (Open-9:30am),1.1
Wiehle-Reston East,Late Night (12am-Close),0.0
Wiehle-Reston East,Evening (7pm-12am),0.1
Woodley Park,Midday (9:30am-3pm),0.8
Woodley Park,PM Peak (3pm-7pm),1.0
Woodley Park,AM Peak (Open-9:30am),1.4
Woodley Park,Evening (7pm-12am),0.3
Woodley Park,Late Night (12am-Close),0.0
